Designator,Mid X,Mid Y,Rotation,Layer
C1,8.425,-12.74,0.0,top
C10,102.6,-134.6,180.0,top
C11,162.2,-102.6,0.0,top
C12,115.1,-132.4,0.0,top
C13,102.4,-118.8,0.0,top
C14,102.4,-120.8,0.0,top
C15,102.4,-114.5,0.0,top
C16,143.5,-127.32,90.0,top
C17,115.1,-130.0,180.0,top
C2,162.2,-103.6,0.0,top
C3,163.8,-102.255,270.0,top
C4,102.6,-130.5,180.0,top
C5,109.6,-109.1,270.0,top
C6,102.4,-116.8,0.0,top
C7,112.4,-106.8,0.0,top
C8,102.6,-132.5,180.0,top
C9,102.6,-128.3,180.0,top
D1,143.555,-117.0,0.0,top
D10,153.0,-100.2,0.0,top
D11,120.0,-131.0,180.0,top
D12,124.7,-123.9,0.0,top
D13,139.6,-110.3,180.0,top
D14,153.05,-103.2,0.0,top
D15,149.85,-107.2,180.0,top
D17,106.2,-107.9,270.0,top
D2,143.555,-119.0,0.0,top
D3,143.555,-118.0,0.0,top
D4,141.7,-142.4,0.0,top
D5,133.6,-142.3,180.0,top
D6,164.8,-131.3,0.0,top
D7,164.8,-132.8,0.0,top
D8,164.8,-134.3,0.0,top
D9,153.0,-97.5,180.0,top
F1,129.0,-123.9,0.0,top
J1,149.55,-137.325,0.0,top
J10,125.55,-137.3,0.0,top
J8,143.41,-100.95,180.0,top
J9,109.0,-124.45,270.0,top
L1,128.4,-128.2,0.0,top
L2,126.4,-119.5,0.0,top
PS1,117.4,-126.1,0.0,top
Q1,117.9,-118.4,180.0,top
R1,162.22,-101.6,0.0,top
R10,114.4,-113.755,90.0,top
R11,146.3,-106.5,180.0,top
R12,141.4,-106.1,180.0,top
R13,143.555,-116.0,0.0,top
R14,143.555,-120.0,0.0,top
R15,141.7,-118.0,180.0,top
R16,146.4,-131.9,0.0,top
R17,134.9,-123.0,180.0,top
R18,142.555,-113.1,0.0,top
R19,108.845,-107.7,0.0,top
R2,160.5,-103.6,0.0,top
R20,142.6,-125.7,0.0,top
R21,142.6,-124.5,0.0,top
R22,136.6,-123.0,0.0,top
R23,126.88,-123.9,0.0,top
R24,127.2,-132.0,180.0,top
R25,115.1,-131.1,180.0,top
R26,142.3,-127.3,270.0,top
R27,154.4,-107.2,0.0,top
R28,153.5,-131.9,180.0,top
R3,141.1,-122.8,270.0,top
R4,108.5,-106.245,270.0,top
R5,108.5,-109.1,270.0,top
R6,144.3,-113.1,0.0,top
R7,117.0,-122.1,270.0,top
R8,116.1,-110.355,270.0,top
R9,116.155,-114.1,180.0,top
SD-CARD1,126.55,-100.08,180.0,top
SW1,163.8,-107.1,0.0,top
SW2,158.1,-107.1,0.0,top
U1,159.95,-119.9,270.0,top
U2,136.7,-118.995,270.0,top
U3,113.4,-103.525,90.0,top
U4,113.2375,-109.75,180.0,top
U5,143.5,-130.9,90.0,top
U6,137.1,-127.2,270.0,top
